"polygon_id","polygon_name","polygon_level","polygon_version","country","business_vertical","activity_quantile","latitude","longitude","ds"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","Public Good","0.7101710840383151","39.793768027282304","-4.147935709854904","2024-10-30"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","Manufacturing","0.517891792021768","39.793768027282304","-4.147935709854904","2024-10-30"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","","0.506200446864507","39.793768027282304","-4.147935709854904","2024-10-30"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","Professional Services","0.697373182320231","39.793768027282304","-4.147935709854904","2024-10-30"
"ESP.4.5_1","Toledo","GADM2","3.6","ES","Restaurants","0.818274525609686","39.793768027282304","-4.147935709854904","2024-10-30"
"ESP.10.1_1","Alicante","GADM2","3.6","ES","","0.6441090186972077","38.478788145181916","-0.5682515168976798","2024-10-30"
"ESP.10.1_1","Alicante","GADM2","3.6","ES","Business & Utility Services","0.6304630725416451","38.478788145181916","-0.5682515168976798","2024-10-30"
"ESP.10.1_1","Alicante","GADM2","3.6","ES","Travel","0.5580223141225146","38.478788145181916","-0.5682515168976798","2024-10-30"
"ESP.10.1_1","Alicante","GADM2","3.6","ES","Restaurants","0.7101270466700872","38.478788145181916","-0.5682515168976798","2024-10-30"
"ESP.4.4_1","Guadalajara","GADM2","3.6","ES","Business & Utility Services","0.6661105189167681","40.81349313217765","-2.6237201283259926","2024-10-30"
"ESP.4.4_1","Guadalajara","GADM2","3.6","ES","Public Good","0.6215737585253295","40.81349313217765","-2.6237201283259926","2024-10-30"
"ESP.4.4_1","Guadalajara","GADM2","3.6","ES","Professional Services","0.6698689840550254","40.81349313217765","-2.6237201283259926","2024-10-30"
"ESP.4.4_1","Guadalajara","GADM2","3.6","ES","Local Events","0.6474616289905987","40.81349313217765","-2.6237201283259926","2024-10-30"
"ESP.4.4_1","Guadalajara","GADM2","3.6","ES","Restaurants","0.7112768426454089","40.81349313217765","-2.6237201283259926","2024-10-30"
"ESP.4.4_1","Guadalajara","GADM2","3.6","ES","Manufacturing","0.4830867096210218","40.81349313217765","-2.6237201283259926","2024-10-30"
"ESP.4.4_1","Guadalajara","GADM2","3.6","ES","Lifestyle Services","0.5869042982579504","40.81349313217765","-2.6237201283259926","2024-10-30"
"ESP.5.4_1","Palencia","GADM2","3.6","ES","Grocery & Convenience Stores","0.6134296059811833","42.37175498908123","-4.535664432802685","2024-10-30"
"ESP.5.4_1","Palencia","GADM2","3.6","ES","Lifestyle Services","0.6541158054471727","42.37175498908123","-4.535664432802685","2024-10-30"
"ESP.5.4_1","Palencia","GADM2","3.6","ES","All","0.7114165965759145","42.37175498908123","-4.535664432802685","2024-10-30"
"ESP.5.4_1","Palencia","GADM2","3.6","ES","Business & Utility Services","0.5186536277449718","42.37175498908123","-4.535664432802685","2024-10-30"
"ESP.5.4_1","Palencia","GADM2","3.6","ES","Public Good","0.718427518613465","42.37175498908123","-4.535664432802685","2024-10-30"
"ESP.5.4_1","Palencia","GADM2","3.6","ES","Local Events","0.5590637500558598","42.37175498908123","-4.535664432802685","2024-10-30"
"ESP.5.4_1","Palencia","GADM2","3.6","ES","Retail","0.7105421699544718","42.37175498908123","-4.535664432802685","2024-10-30"
"ESP.5.4_1","Palencia","GADM2","3.6","ES","Restaurants","0.682502685823238","42.37175498908123","-4.535664432802685","2024-10-30"
"ESP.5.4_1","Palencia","GADM2","3.6","ES","Travel","0.39955051691691085","42.37175498908123","-4.535664432802685","2024-10-30"
"ESP.5.4_1","Palencia","GADM2","3.6","ES","Home Services","0.6403792453797744","42.37175498908123","-4.535664432802685","2024-10-30"
"ESP.5.4_1","Palencia","GADM2","3.6","ES","Professional Services","0.7432527988071979","42.37175498908123","-4.535664432802685","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","Manufacturing","0.7048425363735066","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","Home Services","0.7034390758405726","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","Business & Utility Services","0.6446543061054394","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","Retail","0.6757649306077422","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","","0.739659415223044","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","Restaurants","0.7140019499227465","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","Travel","0.5964781423768267","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","Lifestyle Services","0.7541762558855826","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","Professional Services","0.7090014817598914","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","All","0.7060388945424154","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","Public Good","0.6855798174936619","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","Grocery & Convenience Stores","0.640551481218396","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.4.2_1","Ciudad Real","GADM2","3.6","ES","Local Events","0.6291316878087042","38.925657735336245","-3.827965193070207","2024-10-30"
"ESP.5.7_1","Soria","GADM2","3.6","ES","Manufacturing","0.7304849888823389","41.620757347091065","-2.588668022620835","2024-10-30"
"ESP.5.7_1","Soria","GADM2","3.6","ES","Retail","0.6925682844054631","41.620757347091065","-2.588668022620835","2024-10-30"
"ESP.5.7_1","Soria","GADM2","3.6","ES","Local Events","0.7168076016869629","41.620757347091065","-2.588668022620835","2024-10-30"
"ESP.5.7_1","Soria","GADM2","3.6","ES","Travel","0.31156283892935505","41.620757347091065","-2.588668022620835","2024-10-30"
"ESP.5.7_1","Soria","GADM2","3.6","ES","Professional Services","0.7055909832892073","41.620757347091065","-2.588668022620835","2024-10-30"
"ESP.5.7_1","Soria","GADM2","3.6","ES","Business & Utility Services","0.663116238007187","41.620757347091065","-2.588668022620835","2024-10-30"
"ESP.5.7_1","Soria","GADM2","3.6","ES","Lifestyle Services","0.569282400060918","41.620757347091065","-2.588668022620835","2024-10-30"
"ESP.5.7_1","Soria","GADM2","3.6","ES","All","0.7007275707591359","41.620757347091065","-2.588668022620835","2024-10-30"
"ESP.5.7_1","Soria","GADM2","3.6","ES","Home Services","0.5000228220953475","41.620757347091065","-2.588668022620835","2024-10-30"
"ESP.5.7_1","Soria","GADM2","3.6","ES","Grocery & Convenience Stores","0.7171447021472348","41.620757347091065","-2.588668022620835","2024-10-30"
"ESP.5.7_1","Soria","GADM2","3.6","ES","Public Good","0.6942744776568466","41.620757347091065","-2.588668022620835","2024-10-30"
"ESP.5.7_1","Soria","GADM2","3.6","ES","Restaurants","0.7039394117066499","41.620757347091065","-2.588668022620835","2024-10-30"
"ESP.11.1_1","Badajoz","GADM2","3.6","ES","Travel","0.48873095688785667","38.7097346069581","-6.141635780421851","2024-10-30"
"ESP.11.1_1","Badajoz","GADM2","3.6","ES","Business & Utility Services","0.6206006147610996","38.7097346069581","-6.141635780421851","2024-10-30"
"ESP.11.1_1","Badajoz","GADM2","3.6","ES","Grocery & Convenience Stores","0.673663401866892","38.7097346069581","-6.141635780421851","2024-10-30"
"ESP.11.1_1","Badajoz","GADM2","3.6","ES","All","0.6745003007801592","38.7097346069581","-6.141635780421851","2024-10-30"
"ESP.11.1_1","Badajoz","GADM2","3.6","ES","Manufacturing","0.552378967226132","38.7097346069581","-6.141635780421851","2024-10-30"
