"latitude","longitude","quadkey","country","date_time","n_baseline","n_crisis","n_difference","density_baseline","density_crisis","percent_change","z_score","ds"
"39.61415155963188","-0.604248046875","03311113120102","ES","2024-10-31 16:00","102.66130594339317","115.51417584992156","12.852869906528383","0.00042346297018748655","0.0004757546460695765","12.398907952738904","2.3352939562407973","2024-10-31"
"39.512516499578055","-0.5822753906250001","03311113120323","ES","2024-10-31 16:00","10.790237331038231","","","","","","","2024-10-31"
"39.512516499578055","-0.450439453125","03311113121233","ES","2024-10-31 16:00","878.6826808671017","991.9029917744447","113.22031090734299","0.0036244383847742418","0.0040852341568892","12.870585424705864","1.3845415358484943","2024-10-31"
"38.745514670733705","0.142822265625","12200020000310","ES","2024-10-31 16:00","124.96938241750428","99.43863008002637","-25.530752337477907","0.0005154805442489883","0.00040954618696176773","-20.267426772690314","-2.770804388737655","2024-10-31"
"38.88248068286238","-0.230712890625","03311113332301","ES","2024-10-31 16:00","38.77064346985566","38.52551369482592","-0.24512977502974564","0.000159923270885312","0.00015867050080800083","-0.6163585842294527","-0.07585394159644937","2024-10-31"
"39.71563761708012","-0.6921386718749999","03311113102022","ES","2024-10-31 16:00","","11.117017887127043","","","","","","2024-10-31"
"38.98503227187443","-1.878662109375","03311112321230","ES","2024-10-31 16:00","681.7442158786228","661.319350339208","-20.424865539414782","0.002812095832126706","0.0027236982053904842","-2.9915838266209325","-0.260600671037395","2024-10-31"
"39.74943317395265","-0.20874023437499997","03311113112112","ES","2024-10-31 16:00","72.3354270234685","78.67439073371773","6.3389637102492316","0.00029837312603473115","0.0003240269572358713","8.643794639963932","1.2880025809010924","2024-10-31"
"39.2237422254099","-0.538330078125","03311113302111","ES","2024-10-31 16:00","83.60493136748822","99.68646962889927","16.081538261411055","0.0003448581939793251","0.0004105669345539011","19.007802502149218","1.6258451242123986","2024-10-31"
"39.529466019374105","-1.571044921875","03311112131220","ES","2024-10-31 16:00","24.271935367088993","21.453590510126922","-2.818344856962071","0.0001001182066436363","8.835837926357841e-05","-11.152073697657245","-1.2882025079215425","2024-10-31"
"38.88248068286238","-0.054931640625","03311113333301","ES","2024-10-31 16:00","88.79613015451244","126.10746345829148","37.31133330377904","0.0003662711346874734","0.0005193839734638271","41.55115954281919","1.3410489405855384","2024-10-31"
"39.206718328999855","-0.23071289062500003","03311113312103","ES","2024-10-31 16:00","43.90705247309767","23.800871305398662","-20.10618116769901","0.00018111021169638967","9.802584852234108e-05","-44.77288100737397","-1.0852539802913221","2024-10-31"
"38.76264982411706","-0.40649414062499994","03311131101123","ES","2024-10-31 16:00","29.75490279114919","29.50859669073079","-0.24630610041839773","0.00012273465058517362","0.00012153358556484076","-0.8008677578694251","-0.10921218078569644","2024-10-31"
"39.34279389253714","-0.6262207031250001","03311113300013","ES","2024-10-31 16:00","52.73680210937854","","","","","","","2024-10-31"
"38.88248068286238","-0.010986328125","03311113333311","ES","2024-10-31 16:00","58.61872702138589","45.630449663779295","-12.988277357606592","0.0002417937315815242","0.0001879327647023306","-21.785566392498712","-0.6508037448375341","2024-10-31"
"40.10328539395856","-2.208251953125","03311110231211","ES","2024-10-31 16:00","13.497722834137164","12.394991927234207","-1.1027309069029574","5.567614545311582e-05","5.104979500557613e-05","-7.606235265488759","-0.693400129203145","2024-10-31"
"39.291796527544385","-0.274658203125","03311113310211","ES","2024-10-31 16:00","88.63474414491863","55.37543869338012","-33.25930545153851","0.0003656054408475082","0.00022806830454077538","-37.1053722179046","-0.9076595805142926","2024-10-31"
"39.64799680624749","-0.23071289062500003","03311113112323","ES","2024-10-31 16:00","232.76783875296573","233.08069717794803","0.312858424982295","0.0009601335133687361","0.0009599620460056298","0.1338329629307598","0.031346866330121154","2024-10-31"
"39.444677063693995","-0.582275390625","03311113122123","ES","2024-10-31 16:00","40.62496020181705","29.69314100450474","-10.931819197312315","0.00016757205796988014","0.0001222936465187253","-26.262653812303487","-3.009597252891597","2024-10-31"
"39.42770686793681","-0.670166015625","03311113122201","ES","2024-10-31 16:00","17.122665839207716","","","","","","","2024-10-31"
"39.05331759139647","-0.538330078125","03311113320131","ES","2024-10-31 16:00","43.28811320199963","43.76245904772236","0.47434584572273053","0.00017855717713583799","0.00018023929151720323","1.0710455050528402","0.13708302619548993","2024-10-31"
